23:37:32.901 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
23:37:32.913 [main] INFO  c.o.c.CampusApplication - [logStarting,55] - Starting CampusApplication using Java 17.0.9 on DESKTOP-VTO87N9 with PID 15992 (E:\SpringBoot+Vue校园论坛(微博)系统\项目源码\server\campus-modular\target\classes started by Administrator in E:\SpringBoot+Vue校园论坛(微博)系统\项目源码\server)
23:37:32.914 [main] INFO  c.o.c.CampusApplication - [logStartupProfileInfo,686] - The following 1 profile is active: "dev"
23:37:36.016 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - Loaded Apache Tomcat Native library [1.3.0] using APR version [1.7.4].
23:37:36.017 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
23:37:36.017 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
23:37:36.021 [main] INFO  o.a.c.c.AprLifecycleListener - [log,173] - OpenSSL successfully initialized [OpenSSL 3.0.13 30 Jan 2024]
23:37:36.031 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Initializing ProtocolHandler ["http-nio-8160"]
23:37:36.032 [main] INFO  o.a.c.c.StandardService - [log,173] - Starting service [Tomcat]
23:37:36.032 [main] INFO  o.a.c.c.StandardEngine - [log,173] - Starting Servlet engine: [Apache Tomcat/9.0.63]
23:37:36.125 [main] INFO  o.a.c.c.C.[.[.[/] - [log,173] - Initializing Spring embedded WebApplicationContext
23:37:37.608 [main] INFO  c.z.h.HikariDataSource - [getConnection,110] - HikariPool-1 - Starting...
23:37:37.899 [main] INFO  c.z.h.HikariDataSource - [getConnection,123] - HikariPool-1 - Start completed.
23:37:40.662 [main] INFO  o.a.c.h.Http11NioProtocol - [log,173] - Starting ProtocolHandler ["http-nio-8160"]
23:37:40.750 [main] INFO  c.o.c.CampusApplication - [logStarted,61] - Started CampusApplication in 8.206 seconds (JVM running for 9.714)
23:38:00.697 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - [close,350] - HikariPool-1 - Shutdown initiated...
23:38:00.702 [SpringApplicationShutdownHook] INFO  c.z.h.HikariDataSource - [close,352] - HikariPool-1 - Shutdown completed.
23:38:30.851 [background-preinit] INFO  o.h.v.i.util.Version - [<clinit>,21] - HV000001: Hibernate Validator 6.2.3.Final
23:38:30.865 [main] INFO  c.o.c.CampusApplication - [logStarting,55] - Starting CampusApplication using Java 17.0.9 on DESKTOP-VTO87N9 with PID 14212 (E:\SpringBoot+Vue校园论坛(微博)系统\项目源码\server\campus-modular\target\classes started by Administrator in E:\SpringBoot+Vue校园论坛(微博)系统\项目源码\server)
23:38:30.866 [main] INFO  c.o.c.CampusApplication - [logStartupProfileInfo,686] - The following 1 profile is active: "dev"
